S/N,Ekiti LGA's ,APC votes,PDP votes,SDP votes,Total votes,winner
1,Ado-Ekiti,23831,7575,15214,46620,APC
2,Aiyekire(Gbonyin),11247,3947,4059,19253,APC
3,Efon,4012,6303,339,10654,PDP
4,Ekiti East,12099,5230,4982,22311,APC
5,Ekiti South-West,9679,4474,4577,18730,APC
6,Ekiti West,15322,3386,3863,22571,APC
7,Emure,7728,2610,3445,13783,APC
8,Ido-Osi,10321,2871,9489,22681,APC
9,Ijero,13754,4897,5006,23657,APC
10,Ikere,12086,3789,1943,17818,APC
11,Ikole,16417,6266,5736,28419,APC
12,Ilejemeje,4357,1157,2344,7858,APC
13,Irepodun/Ifelodun,13125,4712,5010,22847,APC
14,Ise/Orun,8074,2588,5909,16571,APC
15,Moba,11609,3530,490,15629,APC
16,Oye,13396,4122,5391,22909,APC